"Title","Orders Count","Rating","Votes Count","Url","Price"
"Nike Air Jordan Originais oficial 1 AJ1 AQ0818-100 OW Off Branco tênis de basquete dos homens esportes Ao Ar Livre","82","4.9","13","https://pt.aliexpress.com/item/Official-Original-Nike-Air-Jordan-1-AJ1-OW-Off-White-Men-s-basketball-shoes-Outdoor-sports/32910290188.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-0&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","531,19"
"NIKE Original Chegada Nova Mens Tênis De Basquete LeBron Soldado Calçado Respirável Super Leve Ao Ar Livre Para Os Homens 897647-700","66","4.4","20","https://pt.aliexpress.com/item/NIKE-Original-New-Arrival-Mens-Basketball-Sneakers-LeBron-Soldier-Breathable-Footwear-Super-Light-Outdoor-For-Men/32871274975.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-1&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","423,04"
"LeBron sapatos Griffey AZG Primeiro Jogo Fruity Pebbles Neon Hollywood 95 Graffiti Igualdade PE Mowabb Esportes lebron james 15 15","14","5.0","1","https://pt.aliexpress.com/item/LeBron-shoes-AZG-First-Game-Fruity-Pebbles-Griffey-Neon-95-Hollywood-Graffiti-Equality-PE-Mowabb-Sports/1000006662522.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-2&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","235,29"
"Homens Tênis De Basquete Air Jordan Retro 32 Rosso Corsa 41-46 Voos de Crack Velocidade Atlético Tênis Esportivas Ao Ar Livre","128","4.3","39","https://pt.aliexpress.com/item/Jordan-Air-Retro-32-Men-Basketball-shoes-Rosso-Corsa-Crack-Flights-Speed-Athletic-Outdoor-Sport-Sneakers/32898652420.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-3&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","251,64"
"2018 Tênis De Basquete Para Homens Zapatos Hombre Ultra Impulso Verde Camuflagem Cesta Homme Sapatos Unissex Tênis Estrela Bola Super","143","4.9","38","https://pt.aliexpress.com/item/2018-Basketball-Shoes-For-Men-Zapatos-Hombre-Ultra-Green-Boost-Camouflage-Basket-Homme-Shoes-Unisex-Star/32888176273.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-4&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","49,22 - 75,74"
"Air Jordan Retro Homens Tênis De Basquete XI Space Jam 11 45 concord Bred alta gama Azul Atlético Tênis Esportivas Ao Ar Livre 41-46","156","4.8","25","https://pt.aliexpress.com/item/Jordan-Air-Retro-11-XI-Men-Basketball-shoes-Space-Jam-45-Bred-high-concord-gamma-Blue/32899606601.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-5&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","219,74"
"Nova Chegada Original Autêntico Nike Lebron 15 LBJ15 Respirável dos homens Tênis de Basquete Sapatos de Desporto Ao Ar Livre 897649-002","93","4.1","25","https://pt.aliexpress.com/item/Original-New-Arrival-Authentic-Nike-Lebron-15-LBJ15-Men-s-Breathable-Basketball-Shoes-Sport-Outdoor-Sneakers/32910499333.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-6&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","426,71"
"BAGE Men Tênis De Basquete Caril 5 Geração Zapatillas Hombre Tênis de Absorção de Choque Respirável Confortável BG-bp006","2","","","https://pt.aliexpress.com/item/BAGE-Men-Basketball-Shoes-Curry-5-Generation-Breathable-Comfortable-Zapatillas-Hombre-Shock-Absorption-Sneakers-BG-bp006/32918866252.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-7&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","286,42"
"Tênis de Basquete Sapatos Masculinos Primavera Sapatos de Desporto ao ar livre Verão de Fitness Jogging Formadores Anti Skid Jogo de Basquete Sapatos para Homem","2","","","https://pt.aliexpress.com/item/Outdoor-Sneakers-Basketball-Shoes-Men-Spring-Sport-Shoes-Summer-Fitness-Jogging-Trainers-Anti-Skid-Basketball-Game/32930376463.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-8&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","99,42 - 105,13"
"Homem High-top Luz de Amortecimento Tênis De Basquete dos homens Jordan Jordan Tênis De Basquete Anti-skid Respirável Esportes Ao Ar Livre sapatos","479","4.6","150","https://pt.aliexpress.com/item/Man-High-top-Jordan-Basketball-Shoes-Men-s-Cushioning-Light-Basketball-Sneakers-Anti-skid-Breathable-Outdoor/32865657604.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_323_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=ce50d363-b7bb-4394-9592-a566f77df0f3-9&algo_pvid=ce50d363-b7bb-4394-9592-a566f77df0f3&transAbTest=ae803_4","90,81 - 102,37"
