"Title","Orders Count","Rating","Votes Count","Url","Price"
"Mulheres Yoga Estiramento Correia Multi-Cores D-Anel Belt Figura Cintura Leg Exercicio Corda Resistência de Fitness bandas de Yoga Cinto","284","4.9","49","https://pt.aliexpress.com/item/Women-Yoga-Stretch-Strap-Multi-Colors-D-Ring-Belt-Fitness-Exercise-Gym-Rope-Figure-Waist-Leg/1000005947174.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449-449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-0&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","4,20 - 7,55"
"Esporte estiramento pulseira d-anel ajustável cinto cintos cintura perna de fitness gym yoga novo","900","4.8","481","https://pt.aliexpress.com/item/Adjustable-Sport-Stretch-Strap-D-Ring-Belts-Gym-Waist-Leg-Fitness-Yoga-Belt-New/32783268269.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-1&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","6,39"
"Yoga estiramento yoga estiramento strap belt figura cintura leg exercicio exercício","456","4.6","166","https://pt.aliexpress.com/item/New-Arrival-Fitness-Exercise-Gym-Yoga-Stretch-Strap-Belt-Figure-Waist-Leg-Yoga-Stretch-SA785-P40/32781467407.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-2&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","4,88"
"WUHEMAI Anti-gravidade Yoga Hammock Balanço Paraquedas Tecido Descompressão da Terapia de Inversão de Alta Resistência Hammock Yoga Ginásio Enforcamento","259","4.9","121","https://pt.aliexpress.com/item/WUHEMAI-Anti-gravity-Yoga-Hammock-Swing-Parachute-Fabric-Inversion-Therapy-High-Strength-Decompression-Hammock-Yoga-Gym/32850355923.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-3&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","111,98"
"Elástica 5 metros 2017 Yoga Aéreo Rede Balanço Mais Recente Multifunções Anti-gravidade Yoga cintos para treinamento de ioga Yoga para sporting","360","4.9","179","https://pt.aliexpress.com/item/Elastic-anti-gravity-aerial-yoga-hammock-hammock-hammock-YOGASWING-2-8-meters-wide-mosaic-imports-hammock/32667692022.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-4&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","131,74 - 158,08"
"Novo Tapete de Yoga Estilingue Transportadora Carry Ombro Cinto Cinta Exercício do Estiramento Ajustável","64","5.0","15","https://pt.aliexpress.com/item/New-Yoga-Mat-Carry-Strap-Belt-Sling-Carrier-Shoulder-Exercise-Stretch-Adjustable-h030/32816937867.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-5&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","7,07 - 7,71"
"180 CM Cintura Ajustável D-Anel Ginásio Esporte Yoga Estiramento Strap Cintura Perna Cinto de Fitness Yoga Novo","170","4.9","51","https://pt.aliexpress.com/item/180CM-Adjustable-D-Ring-Gym-Waist-Sport-Yoga-Stretch-Strap-Waist-Leg-Fitness-Yoga-Belt-New/32873115141.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-6&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","6,39"
"2017 Novo de Alta Qualidade Yoga Estiramento Strap-Anel D Novv21 Cinto Perna de Fitness 180 CM Ajustável","8","","","https://pt.aliexpress.com/item/2016-New-High-Quality-Yoga-Stretch-Strap-D-Ring-Belt-Waist-Leg-Fitness-180CM-Adjustable-Nov21/32769041718.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-7&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","5,47 - 5,79"
"Nova Esporte Ajustável Trecho yoga Cinta D-Anel Ginásio Cintura Perna de Fitness yoga Cinto","15","4.8","6","https://pt.aliexpress.com/item/New-Adjustable-Sport-Stretch-yoga-Strap-D-Ring-Gym-Waist-Leg-Fitness-Yoga-Belt/32857226480.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-8&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","32,98 - 36,37"
"Ajustável Esporte Estiramento Strap-Anel D Cintos Ginásio Cintura Perna Cinto de Fitness Yoga Novo","68","4.9","38","https://pt.aliexpress.com/item/Adjustable-Sport-Stretch-Strap-D-Ring-Belts-Gym-Waist-Leg-Fitness-Yoga-Belt-New/32776708411.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-9&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","5,71 - 5,87"
"2018 Nova Cor Padrão Stretchy Banda Yoga Algodão Durável Alça Ajustável-Anel D Fivela Dá Flexibilidade Exercício Para Yoga","23","5.0","5","https://pt.aliexpress.com/item/2018-New-Color-Pattern-Stretchy-Yoga-Band-Durable-Cotton-Exercise-Strap-Adjustable-D-Ring-Buckle-Gives/32907970153.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-10&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","10,98"
"2.5*1.5 m 6 Alças Anti-Gravidade Aérea Dispositivo de Tracção Yoga Pilates Ginásio Em Casa Pendurado Cinto Cinta Rede balanço Trapézio","10","5.0","1","https://pt.aliexpress.com/item/2-5-1-5m-6-Handles-Anti-Gravity-Aerial-Traction-Device-Yoga-Hammock-Strap-Pilates-Home/32888449518.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-11&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","81,40 - 138,40"
"Anti-Gravidade yoga hammock tecido yoga Swing Voar Aérea Dispositivo de Tração conjunto rede de Equipamentos para Pilates yoga moldar o corpo","329","4.8","130","https://pt.aliexpress.com/item/250x150cm-210T-nylon-shioze-no-elastic-anti-gravity-Yoga-capacity-200kg-air-hammock-hammock-offers-a/32737308650.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-12&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","114,97"
"Mulheres Yoga Estiramento Correia Multi-Cores D-Anel Belt Figura Cintura Leg Exercicio Corda Resistência de Fitness bandas de Yoga Cinto","410","4.8","248","https://pt.aliexpress.com/item/Women-Yoga-Stretch-Strap-Multi-Colors-D-Ring-Belt-Fitness-Exercise-Gym-Rope-Figure-Waist-Leg/32841721734.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-13&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","7,19"
"AIBOULLY Ajustável Banda com o Botão Cinto Trecho Yoga Mat Estilingue Alça de Transporte Acessórios Yoga Pilates Mat Estilingue Cinta Yoga","90","5.0","21","https://pt.aliexpress.com/item/AIBOULLY-Adjustable-Yoga-Mat-Carrying-Strap-Sling-Stretch-Belt-Band-with-Button-Yoga-Accessories-Pilates-Mat/32825720905.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-14&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","5,71"
"Ajustável Cinta de Algodão Durável Tapete de Yoga Esporte Estiramento Cintura Cinta Ginásio Fitness Perna Levando Slings Carry Ombro Cintas","79","4.9","17","https://pt.aliexpress.com/item/Adjustable-Cotton-Durable-Yoga-Mat-Strap-Sport-Stretch-Strap-Gym-Waist-Leg-Fitness-Carrying-Slings-Shoulder/32843611697.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-15&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","10,22"
"Cintos de yoga Aéreo rede Balanço Aéreo yoga cinto de Treinamento Multifuncional Anti-gravidade cintos para workout yoga pilates slackline","","","","https://pt.aliexpress.com/item/Yoga-Aerial-hammock-belts-Swing-Aerial-yoga-Training-belt-Multifunction-Anti-gravity-Yoga-belts-for-workout/32922889130.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-16&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","147,35"
"Elástica 5 metros 2017 Yoga Aéreo Rede Balanço Mais Recente Multifunções Anti-gravidade Yoga cintos para treinamento de ioga Yoga para sporting","180","4.8","84","https://pt.aliexpress.com/item/Elastic-5-meters-2017-Aerial-Yoga-Hammock-Swing-Latest-Multifunction-Anti-gravity-Yoga-belts-for-yoga/32824525175.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-17&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","125,15"
"Novo Multi-Cores Mulheres Yoga Estiramento Correia D-Anel Belt Figura Cintura Leg Exercicio Corda Resistência bandas de fitness Algodão","598","4.8","204","https://pt.aliexpress.com/item/New-Multi-Colors-Women-Yoga-Stretch-Strap-D-Ring-Belt-Fitness-Exercise-Gym-Rope-Figure-Waist/32686538869.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-18&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","9,31"
"6 Força de cor Trapézio yoga Rede Inversão de Descompressão Anti-Gravidade Aérea Tração cinta Yoga Gym yoga Swing set","99","4.9","39","https://pt.aliexpress.com/item/High-Strength-Decompression-Hammock-Inversion-Trapeze-Anti-Gravity-Aerial-Traction-Yoga-Gym-Swing-Hanging-Green-Free/32707085110.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-19&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","130,46"
"Poliéster Tapete de Yoga Pad Exercício Looped Cinta Sling Harness Carrier Titular ^","3","","","https://pt.aliexpress.com/item/Polyester-Yoga-Mat-Exercise-Pad-Looped-Sling-Harness-Carrier-Strap-Holder/32903014169.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-20&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","2,96"
"185 cm Estiramento da Ioga da Aptidão Exercício Cintas Ginásio Yoga Estiramento Cinto Cinta Cintura Exercício para as Pernas","279","4.5","88","https://pt.aliexpress.com/item/185CM-Yoga-Stretch-Fitness-Exercise-Straps-Gym-Yoga-Stretch-Strap-Belt-Waist-Leg-Exercise/32879532928.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-21&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","5,43 - 5,59"
"Ajustável Esporte Estiramento Strap-Anel D Cintos Ginásio Cintura Perna de Fitness Yoga Cinto S23","4","","","https://pt.aliexpress.com/item/Adjustable-Sport-Stretch-Strap-D-Ring-Belts-Gym-Waist-Leg-Fitness-Yoga-Belt-S23/32833158855.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-22&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","5,55 - 5,71"
"Yoga Hammock Balanço Paraquedas Tecido Descompressão da Terapia de Inversão Anti-gravidade Alta Resistência Hammock Yoga Ginásio Enforcamento","6","5.0","2","https://pt.aliexpress.com/item/Yoga-Hammock-Swing-Parachute-Fabric-Inversion-Therapy-Anti-gravity-High-Strength-Decompression-Hammock-Yoga-Gym-Hanging/32914375634.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-23&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","13,54 - 114,37"
"2 pcs 300*2.5 cm Super Forte Cinto Cinta Yoga Hammock w/Fivela de Estudo Portátil Tenda Hammock Hanging árvore De Carga Da Corda Corda Ligamento","3","","","https://pt.aliexpress.com/item/2-Pcs-300-2-5cm-Super-Strong-Yoga-Hammock-Strap-Belt-w-Buckle-Portable-Study-Tent/32894609906.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-24&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","65,83"
"2018 Chegada Nova Antena Anti-gravidade Yoga Hammock Balanço Voando Yoga Cama Musculação Ginásio Equipamentos de Ginástica Inversão Trapézio","17","5.0","6","https://pt.aliexpress.com/item/2018-New-Arrival-Aerial-Anti-gravity-Yoga-Hammock-Swing-Flying-Yoga-Bed-Bodybuilding-Gym-Fitness/32888601515.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-25&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","289,74 - 391,13"
"Qualidade superior de Alta Resistência Yoga Aéreo Rede 5 M x 2.8 M Conjunto Completo de 20 Cores Ar Hammock-100 % Nylon W/daisy chain e mosquetões","78","4.9","21","https://pt.aliexpress.com/item/Aerial-Yoga-Set-Hammock-High-Strength-100-Nylon-including-daisy-chain-and-carabiners-5meters-19-color/32766629043.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704-26&algo_pvid=33efda77-8f5b-4d0f-9e79-6e5fc98e9704","261,67"
