"Title","Orders Count","Rating","Votes Count","Url","Price"
"2018 Nova Marca 6 MM de Espessura Tapete de Yoga Não-slip Durável Exercício Perder Peso de Fitness Gym Mat Pad Yoga mat","297","4.8","125","https://pt.aliexpress.com/item/2018-Brand-New-6MM-Thick-Yoga-Mat-Non-slip-Durable-Exercise-Fitness-Gym-Mat-Lose-Weight/32854419425.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-0&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","29,15"
"Clássico Mandola Yoga Toalha 183*65 Diamante Textura Antiderrapante Yoga Mat Toalha de Viagem Portátil Cobertura Mat Pilates Fitness cobertor Yoga","71","4.8","30","https://pt.aliexpress.com/item/Classic-Mandola-Yoga-Towel-183-65-Diamond-Texture-Non-Slip-Portable-Travel-Yoga-Mat-Towel-Mat/32878292841.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-1&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","66,67"
"Esteira da ioga Cobertor Tapeçaria Da Suspensão de Parede Rodada Indiano Mandala Lótus Bohemian Esportes Yoga Cobertor Aptidão Toalha de Praia Protetor Solar","5","5.0","1","https://pt.aliexpress.com/item/Yoga-Mat-Blanket-Wall-Hanging-Tapestry-Round-Indian-Mandala-Fitness-Beach-Towel-Sunblock-Lotus-Bohemian-Sports/32920603206.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-2&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","32,06"
"183x63 cm Antiderrapante Yoga Toalha Macia Viagem Esporte da Aptidão do Exercício da Yoga Pilates Mat Tie-dye Impresso cobertor","71","4.9","32","https://pt.aliexpress.com/item/183x63cm-Non-Slip-Yoga-Towel-Soft-Travel-Sport-Fitness-Exercise-Yoga-Pilates-Mat-Tie-dye-Printed/32862753817.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-3&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","56,81"
"Belo Padrão de Impressão Novo Yoga Toalha Suor Anti-skid Portátil Ginásio Exercício Cobertor Toalha Tapete de Yoga Toalha Yoga Pilates tampa tapete","45","4.7","11","https://pt.aliexpress.com/item/Beautiful-Pattern-Print-New-Yoga-Towel-Sweat-Anti-skid-Portable-Gym-Blanket-Exercise-Yoga-Mat-Towel/32886798575.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-4&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","62,60"
"Yoga Toalha Mat 1830*630mm Germproof Sweat-absorvente Antiderrapante Fácil Limpeza Portative Rosa Vermelha Azul Rosa Verde laranja Café","58","4.9","65","https://pt.aliexpress.com/item/Yoga-Towel-Mat-1830-630mm-Sweat-absorbent-Germproof-Antislip-Easy-Cleaning-Portative/32643996319.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-5&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","17,53"
"Marca Yoga Toalha 173*61 BALIGHT cm/68 ""* 24"" Microfibra Venda Quente de Secagem Rápida Yoga toalhas de Esportes Acessórios","98","4.7","46","https://pt.aliexpress.com/item/BALIGHT-Brand-Yoga-Towel-173-61cm-68-24-Microfiber-Hot-Sale-Quick-Drying-Yoga-Towels-Sports/32835501162.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-6&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","27,95 - 37,29"
"YOUGLE Tampa Antiderrapante Tapete de Yoga Cobertor Toalha Do Esporte Da Aptidão Exercício Pilates Treino QUENTE","206","4.9","68","https://pt.aliexpress.com/item/Non-Slip-Yoga-Mat-Cover-Towel-Blanket-Sport-Fitness-Exercise-Pilates-Workout-HOT/32595541749.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-7&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","59,16"
"AbsorbSweat impresso Tapete de Yoga Toalha Toalha de Microfibra Yoga Toalha Sílica Gel Anti-slip Goodgrip 183*65 cm Cobertor Yoga pilates Mat Capa","36","5.0","12","https://pt.aliexpress.com/item/Printed-Yoga-Mat-Towel-Microfiber-AbsorbSweat-Yoga-Towel-Silica-Gel-Non-slip-Goodgrip-183-65cm-Yoga/32862995202.html?ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-8&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","79,84"
"Nova Edição estilo Retro Toalha Tapete de Yoga Esporte Pilates Workout Fitness Gym Exercício De Treinamento Portátil Capa Cobertor Toalha Macia","135","4.7","54","https://pt.aliexpress.com/item/New-Issue-Retro-style-Yoga-Mat-Towel-Sport-Fitness-Gym-Exercise-Pilates-Workout-Portable-Training-Cover/32830305892.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_4_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=1205acb2-dfe6-4dae-87b8-14b37dc04d97-9&algo_pvid=1205acb2-dfe6-4dae-87b8-14b37dc04d97","65,19"
