"Title","Orders Count","Rating","Votes Count","Url","Price"
"Anel de Pilates Círculo Mágico Duplo Aperto Sporting Goods Loop Anel de Yoga Exercício de Fitness Massagem Corporal Perder Peso do Equipamento","9","5.0","1","https://pt.aliexpress.com/item/Pilates-Ring-Magic-Circle-Dual-Grip-Sporting-Goods-Yoga-Ring-Exercise-Fitness-Body-Massage-Loop-Lose/32915883413.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-0&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","12,06"
"Cortiça Yoga TPE Roda Círculo Yoga Exercício do Estiramento Auxiliar Casa Equipamentos de Gravação A Laser Rodada Roda de Exercício Pilates Círculo","2","","","https://pt.aliexpress.com/item/Cork-TPE-Yoga-Wheel-Yoga-Circle-Stretch-Exercise-Auxiliary-Home-Equipment-Laser-Engraving-Round-Exercise-Wheel/32901057796.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-1&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","184,27 - 212,93"
"Roda Anel Círculo Pilates Círculo Mágico Yoga TPE Yoga Emagrecimento Para Gym Yoga Rolo Home Fitness Musculação","5","5.0","4","https://pt.aliexpress.com/item/Pilates-Magic-Circle-Yoga-Circle-TPE-Yoga-Wheel-Ring-Slimming-For-Gym-Yoga-Fitness-Roller-Home/32865933780.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-2&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","101,72"
"SILITE Yoga Anel Círculo Pilates Workout Fitness Yoga Treinamento Casa Equipamentos de Ginástica Do Edifício Do Corpo de Fitness Formação Profissional","1","","","https://pt.aliexpress.com/item/SILITE-Yoga-Pilates-Circle-Workout-Fitness-Yoga-Ring-Training-Home-Gym-Body-Building-Fitness-Equipments-Professional/32857606481.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-3&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","42,36"
"Círculos Yoga Madeira Macia Feito Pilates Yoga Profissional Roda de madeira para a Construção Do Corpo ABS Ferramenta de Treinamento Treino de Ginásio Em Casa","8","4.0","1","https://pt.aliexpress.com/item/Wooden-Yoga-Circles-Soft-Wood-Made-Professional-Pilates-Yoga-Wheel-for-Body-Building-ABS-Workout-Gym/32921532787.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-4&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","104,83"
"2018 Nova Professional Emagrecimento Anel Mágico Pilates Círculo De Fitness Yoga Aptidão Durável Acessório 39 cm W $","9","2.7","3","https://pt.aliexpress.com/item/2018-New-Professional-Slimming-Magic-Ring-Durable-Pilates-Fitness-Circle-Yoga-Fitness-Accessory-39CM-W/32901778667.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-5&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","14,66 - 39,72"
"Profissional de Fitness Pilates Emagrecimento Mágico Anel de Yoga Pilates Fitness Círculos Durável Acessório Gym Workout Treinamento Ferramenta W $","9","5.0","1","https://pt.aliexpress.com/item/Professional-Fitness-Pilates-Slimming-Magic-Yoga-Ring-Durable-Pilates-Fitness-Circles-Accessory-Gym-Workout-Training-Tool/32900353397.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-6&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","19,49 - 38,89"
"Yoga Saco De Roda de Nylon Preto Mandala Flor 36*14 cm Yoga Pilates Círculo Saco de Grande Capacidade Duplo Zíper Roda saco de Yoga Mochila","12","4.0","6","https://pt.aliexpress.com/item/Yoga-Wheel-Bag-Nylon-Black-Mandala-Flower-36-14cm-Yoga-Circle-Bag-Large-Capacity-Double-Zipper/32890346785.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-7&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","50,26"
"Alta densidade de Espuma EPP Preto Rodada Rolo para Massagem Físico Muscle Gym Yoga Pilates Esportes Liberação Miofascial 30/45/60/90c'm","38","5.0","23","https://pt.aliexpress.com/item/Trigger-Point-Foam-Roller-Muscle-Tissue-Massage-Fitness-Gym-Yoga-Pilates-Sports/32494937487.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-8&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","35,85 - 57,41"
"Viagem portátil Yoga massagem vara rolo de fitness Exercício muscular terapia do ponto do Disparador Miofascial para perna de trás de massagem corporal ro","2","","","https://pt.aliexpress.com/item/497mm-41mm-Travel-portable-Yoga-massage-stick-Exercise-fitness-roller-muscle-therapy-Myofascial-Trigger-point-for/32718756038.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=109af3a7-a8ae-46ca-bb00-62b98da59a5f-9&algo_pvid=109af3a7-a8ae-46ca-bb00-62b98da59a5f","21,16 - 33,82"
