"Title","Orders Count","Rating","Votes Count","Url","Price"
"Qualidade Yoga Pilates Anel Mágico Envoltório de Emagrecimento Corpo de Formação Construção Heavy Duty PP + Material de NBR Yoga Círculo 5 cores","14","","","https://pt.aliexpress.com/item/Quality-Yoga-Pilates-Ring-Magic-Wrap-Slimming-Body-Building-Training-Heavy-Duty-PP-NBR-Material-Yoga/32923886847.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-0&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","28,55"
"Yoga Círculo Anel de Mulheres Em Casa Equipamentos de Fitness Yoga Stretchdline Fascia Massagem Pilates Workout Exercício de Musculação","5","","","https://pt.aliexpress.com/item/Yoga-Circle-Yoga-Stretchdline-Ring-Home-Women-Fitness-Equipment-Fascia-Massage-Workout-Pilates-Bodybuilding-Exercise/32925896720.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-1&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","4,84"
"Disco 1 pcs Durável Inflável Yoga Wobble Estabilidade Equilíbrio Disco Almofada de Massagem Mat F $","10","4.5","2","https://pt.aliexpress.com/item/1pcs-Durable-Inflatable-Yoga-disk-Wobble-Stability-Balance-Disc-Massage-Cushion-Mat-F/32903974342.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-2&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","37,20 - 57,61"
"Venda quente Yoga Pilates Anel Círculo Pilates Anel Círculo Mágico Envoltório Slimming a Construção Do Corpo de Fitness Yoga Acessórios foamroller","23","5.0","6","https://pt.aliexpress.com/item/Hot-Sale-Yoga-Pilates-Ring-Pilates-Anillo-Magic-Circle-Wrap-Slimming-Body-Building-Fitness-Circle-Yoga/32891442368.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-3&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","34,22"
"Grão de madeira 13 Polegada Roda Círculos Yoga TPE Yoga Gym Workout Treinamento Ferramenta Forma Cintura Musculação Equipamentos de Fitness de Alta Qualidade","28","4.8","15","https://pt.aliexpress.com/item/Wood-Grain-13-Inch-Yoga-Wheel-Yoga-Circles-TPE-Gym-Workout-Training-Tool-Waist-Shape-Bodybuilding/32807031808.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-4&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","118,23"
"Alta densidade de Espuma EPP Preto Rodada Rolo para Massagem Físico Muscle Gym Yoga Pilates Esportes Liberação Miofascial 30/45/60/90c'm","39","5.0","24","https://pt.aliexpress.com/item/Trigger-Point-Foam-Roller-Muscle-Tissue-Massage-Fitness-Gym-Yoga-Pilates-Sports/32494937487.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-5&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","36,15 - 57,89"
"30 CM de Ponto Flutuante Espuma Coluna Pilates Vara 2018 Novo Eva Yoga Balance Bar","3","","","https://pt.aliexpress.com/item/30CM-Floating-Point-Foam-Column-Pilates-Stick-2018-New-Eva-Yoga-Balance-Bar/32881265299.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-6&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","18,36 - 21,62"
"Venda quente Yoga Pilates Anel Círculo Pilates Anel Círculo Mágico Envoltório Slimming a Construção Do Corpo de Fitness Yoga Acessórios foamroller","45","4.7","20","https://pt.aliexpress.com/item/Hot-Sale-Yoga-Pilates-Ring-Pilates-Anillo-Magic-Circle-Wrap-Slimming-Body-Building-Fitness-Circle-Yoga/32879855517.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-7&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","30,56 - 52,62"
"Novo Yoga Círculo Pilates Anel Círculo Mágico Yoga ABS Roda Ferramenta Emagrecimento Casa Equipamentos de Fitness Gym Workout Treinamento de Volta","70","4.9","46","https://pt.aliexpress.com/item/iVIM-Genuine-Yoga-Wheel-YogaWheel-Yoga-Circle-Damour-Wheel-After-The-Artifact-Pilates-Circle-Send-Manual/32751759217.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-8&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","141,22 - 145,32"
"Chinês Multi-tipos de martelo de Madeira rolo de Yoga massagem vara Aptidão muscular terapia do ponto do Disparador Miofascial para pés pescoço para trás","13","5.0","4","https://pt.aliexpress.com/item/Chinese-Multi-kinds-Wood-hammer-Yoga-massage-stick-Fitness-roller-muscle-therapy-Myofascial-Trigger-point-for/32717885292.html?ws_ab_test=searchweb0_0,searchweb201602_3_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=a62b606d-6dd7-4abc-a928-6e9431a71d5c-9&algo_pvid=a62b606d-6dd7-4abc-a928-6e9431a71d5c&transAbTest=ae803_4","22,06"
