"Title","Orders Count","Rating","Votes Count","Url","Price"
"6mm Insípido TPE Não-antiderrapante Mats Yoga Para Fitness Marca 8 Cor Mat Pilates Ginásio Exercício Esporte Esteiras almofadas com Saco Yoga yoga Cinta","896","4.9","303","https://pt.aliexpress.com/item/6MM-TPE-Non-slip-Yoga-Mats-For-Fitness-Tasteless-Brand-Pilates-Mat-8Color-Gym-Exercise-Sport/32868190134.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-0&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","58,25"
"6 MM de Espessura EVA Esteira Da Ioga Da Espuma de Conforto para o Exercício, Yoga, e Pilates","2035","4.7","900","https://pt.aliexpress.com/item/6MM-Sports-Yoga-Mats-Anti-slip-Blanket-EVA-Gymnastic-Fitness-Mat/32797413928.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-1&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","31,82"
"5mm Lotus Padrão Camurça Mat TPE Yoga Pad Não-slip Slimming Esteira do Exercício da Aptidão Da Ginástica Body Building Esterilla pilates","306","4.8","124","https://pt.aliexpress.com/item/5-MM-Lotus-Pattern-Suede-TPE-Yoga-Mat-Pad-Non-slip-Slimming-Exercise-Fitness-Gymnastics-Mat/32846218959.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-2&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","99,76 - 191,54"
"1830*610*6mm TPE Tapete de Yoga com Saco Ambiental Non Slip Mat Para Iniciantes de Ginástica Esteiras de ginástica","66","4.9","13","https://pt.aliexpress.com/item/1830-610-6mm-TPE-Yoga-Mat-with-Bag-Non-Slip-Mat-For-Beginner-Environmental-Fitness-Gymnastics/32885569717.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-3&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","31,86 - 32,10"
"Esportes Tapete de Yoga Tapete de Yoga Multifuncional Estilingue Cinta Elástica Algodão Não-escorregar Cinto Para Esportes Fitness Gym Exercício 4 cores","548","4.6","205","https://pt.aliexpress.com/item/Multifunctional-Yoga-Mat-Sling-Strap-Elastic-Cotton-Non-slip-Fitness-Gym-Belt-for-Sports-Exercise-4/32810060543.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-4&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","19,45 - 20,12"
"1 Pc Novo Eco Espuma EVA Dampproof Mat de Fitness & Body Building Exercício de Yoga Almofada de Dormir Colchão Alta Quality-P101","52","4.3","33","https://pt.aliexpress.com/item/1Pc-Eco-friendly-Foam-EVA-Dampproof-Mat-Exercise-Yoga-Pad-Sleeping-Mattress-Fitness-Body-Building/32798266339.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-5&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","14,78"
"183*60 cm Não-slip Esteiras da Ioga NBR 10mm Exercício Ginásio de Esportes de Fitness Pilates Mat Engrossado Lágrima resistente Com Saco de Tapete de Yoga & Strap","432","4.8","294","https://pt.aliexpress.com/item/183-60cm-Non-slip-NBR-Yoga-Mats-Fitness-10mm-Exercise-Sports-Gym-Pilates-Mat-Thickened-Tear/32834897260.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-6&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","62,64 - 81,52"
"Alça de Ombro Sling Transportadora Esportes Tapete de Yoga Tapete de Yoga portátil Carry Transportadora Cinto de Fitness Ginásio Ajustável Ombro Alça de Transporte","345","3.8","20","https://pt.aliexpress.com/item/Portable-Yoga-Mat-Sling-Sports-Carrier-Yoga-Mat-Shoulder-Strap-Carry-Belt-Fitness-Gym-Adjustable-Carrier/32911711521.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-7&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","1,96"
"Nova Convenience Preto Pilates yoga mochila yoga mat mochila yoga à prova d' água saco de Nylon Transportadora Malha Alça Ajustável Esporte Ferramenta","494","4.6","113","https://pt.aliexpress.com/item/New-Convenience-Black-Portable-Yoga-Mat-Bag-Nylon-Pilates-Carrier-Mesh-Adjustable-Strap-Sport-Tool-Style/32756008914.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-8&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","5,83"
"Thickess 60x25x1.5 cm Não-Deslizamento Tapete de Yoga Almofada Almofada de Joelho Cotovelo Esporte Pilates Ginásio Macio tapetes Almofadas Dobrável Interior Do Edifício Do Corpo","152","4.5","15","https://pt.aliexpress.com/item/60x25x1-5cm-Thickess-Non-Slip-Yoga-Knee-Pad-Cushion-Elbow-Sport-Mat-Gym-Soft-Pilates-Mats/32907828782.html?ws_ab_test=searchweb0_0,searchweb201602_2_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_2,ppcSwitch_0&algo_expid=f0d094a3-a902-4b46-bfba-dab1813fda66-9&algo_pvid=f0d094a3-a902-4b46-bfba-dab1813fda66","5,47"
