"Title","Orders Count","Rating","Votes Count","Url","Price"
"10mm Extra Grosso 183 cm X cm Alta Qualidade NRB 61 Insípido Não-slip Mats Yoga Para Fitness pilates Exercício Ginásio Almofadas com Ataduras","1157","4.8","334","https://pt.aliexpress.com/item/10MM-Extra-Thick-183cmX61cm-High-Quality-NRB-Non-slip-Yoga-Mats-For-Fitness-Tasteless-Pilates-Gym/32868834760.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-0&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","56,69"
"15mm de Espessura Tapete de Yoga EVA Espuma de Conforto Almofadas de Joelho e Cotovelo Pad Mats para Yoga Pilates Exercício Interior Ao Ar Livre Do Jardim calças de Treinamento de Fitness","26","5.0","4","https://pt.aliexpress.com/item/15MM-Thick-EVA-Yoga-Mat-Comfort-Foam-Knee-Elbow-Pad-Mats-for-Exercise-Yoga-Pilates-Indoor/32917388611.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-1&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","19,41 - 19,57"
"183*61 cm 6mm de Espessura Dupla Cor Não-slip Mat TPE Yoga Qualidade Esporte Exercício Mat para fitness Gym Início Insípido Pad","51","5.0","1","https://pt.aliexpress.com/item/183-61cm-6mm-Thick-Double-Color-Non-slip-TPE-Yoga-Mat-Quality-Exercise-Sport-Mat-for/32920625963.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-2&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","58,05"
"1 pc 173 cm 6mm Não-slip Esteiras da Ioga da Aptidão Exercício Ginásio De Fitness Dobrável Ambiental Almofadas","18","","","https://pt.aliexpress.com/item/1Pc-173cm-6mm-Non-slip-Yoga-Mats-Fitness-Foldable-Fitness-Environmental-Gym-Exercise-Pads/32921587994.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-3&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","12,10"
"1 peça 10mm Iniciantes Yoga Mat Pilates Yoga Interior Almofadas Ao Ar Livre Jardim de Treinamento de Fitness Esteiras Conforto 183*61*1 CM","2","","","https://pt.aliexpress.com/item/1-Piece-10mm-Yoga-Beginner-Indoor-Yoga-Mat-Pilates-Pads-Outdoor-Garden-Fitness-Training-Mats-Comfort/32922251032.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-4&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","16,93"
"Esteiras de Espuma EVA Yoga Tijolo Ferramenta de Rolo De Fitness Gym Sports Exercise Workout Alongamento banda de fitness elástico","150","4.8","49","https://pt.aliexpress.com/item/EVA-Yoga-Block-Foaming-Brick-Sports-Exercise-Roller-Fitness-Gym-Tool-Workout-Stretching/32824548996.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-5&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","12,98 - 14,85"
"4 Cores Exercício Tapete de Yoga Almofada de Espessura Não-deslizamento Dobrável Esteira da Aptidão da Ginástica Pilates Suprimentos Não-skid Piso Esteira do jogo","419","4.6","131","https://pt.aliexpress.com/item/4-Colors-Yoga-Mat-Exercise-Pad-Thick-Non-slip-Folding-Gym-Fitness-Mat-Pilates-Supplies-Non/32869381523.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-6&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","22,16 - 22,88"
"AZUL BORRACHA NATURAL ECO PU YOGA MATS 183*68 cm 3.5mm COM LINHAS de ALINHAMENTO","","","","https://pt.aliexpress.com/item/BLUE-NATURAL-RUBBER-ECO-PU-YOGA-MATS-183-68CM-3-5MM-WITH-ALIGNMENT-LINES/32907357009.html?s=p&ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-7&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","262,99"
"6mm EVA Durável Não-Deslizamento Tapete de Yoga do Exercício Da Aptidão Perder Peso Exercício de Fitness dobrável tapete de ginástica para fitness","120","5.0","7","https://pt.aliexpress.com/item/6mm-EVA-Durable-Exercise-Fitness-Non-Slip-Yoga-Mat-Lose-Weight-Exercise-Fitness-folding-gymnastics-mat/32900411927.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-8&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","19,76"
"183 cm X 61 cm Insípido Não-slip Mats Yoga Para Fitness Pilates Ginásio Exercício de Fitness Esportes Almofadas Com ataduras HW472","49","5.0","4","https://pt.aliexpress.com/item/183cmX61cm-Non-slip-Yoga-Mats-For-Fitness-Tasteless-Pilates-Gym-Exercise-Fitness-Sports-Pads-With-Bandages/32922941303.html?ws_ab_test=searchweb0_0,searchweb201602_1_10065_10068_318_10547_319_10548_10696_450_10084_10083_10618_452_535_534_533_10307_532_204_10059_10884_10887_100031_320_10103_448_449,searchweb201603_60,ppcSwitch_0&algo_expid=f7f34170-c03a-4d96-9a21-7a8e9b725c69-9&algo_pvid=f7f34170-c03a-4d96-9a21-7a8e9b725c69&transAbTest=ae803_5","145,19 - 165,95"
